boxName;text;confidence
marginBox;;1
nameBox;PASTA RIGATONI;1
unitBox;500G;1.0
priceBox;2.55;1
pageNumberBox;0;1.0
dataBox0(0,0);NOVA;1.0
dataBox1(0,1);FAKW;1.0
dataBox2(0,2);RITA;1.0
dataBox3(0,3);;1.0
dataBox4(0,4);;1.0
dataBox5(0,5);;1.0
dataBox6(1,0);GIRA;1.0
dataBox7(1,1);LAGE;1.0
dataBox8(1,2);H5;1.0
dataBox9(1,3);;1.0
dataBox10(1,4);;1.0
dataBox11(1,5);;1.0
dataBox12(2,0);GENU;1.0
dataBox13(2,1);KLEIN;1.0
dataBox14(2,2);DOHLE;1.0
dataBox15(2,3);;1.0
dataBox16(2,4);;1.0
dataBox17(2,5);;1.0
dataBox18(3,0);;1.0
dataBox19(3,1);SCHWUND;1.0
dataBox20(3,2);MAMA;1.0
dataBox21(3,3);;1.0
dataBox22(3,4);;1.0
dataBox23(3,5);;1.0
dataBox24(4,0);KLEIN;1.0
dataBox25(4,1);SWAG;1.0
dataBox26(4,2);AHO;1.0
dataBox27(4,3);;1.0
dataBox28(4,4);;1.0
dataBox29(4,5);;1.0
dataBox30(5,0);MUH;1.0
dataBox31(5,1);BOER;1.0
dataBox32(5,2);CAD;1.0
dataBox33(5,3);;1.0
dataBox34(5,4);;1.0
dataBox35(5,5);;1.0
dataBox36(6,0);CLAU;1.0
dataBox37(6,1);ANA;1.0
dataBox38(6,2);FFL;1.0
dataBox39(6,3);;1.0
dataBox40(6,4);;1.0
dataBox41(6,5);;1
dataBox42(7,0);SWAG;1.0
dataBox43(7,1);MMJQ;1.0
dataBox44(7,2);FFL;1.0
dataBox45(7,3);;1.0
dataBox46(7,4);;1.0
dataBox47(7,5);;1.0
dataBox48(8,0);RAED;1.0
dataBox49(8,1);KLEIN;1.0
dataBox50(8,2);SUED2;1.0
dataBox51(8,3);;1.0
dataBox52(8,4);;1.0
dataBox53(8,5);;1.0
dataBox54(9,0);FFL;1.0
dataBox55(9,1);HARO;1.0
dataBox56(9,2);TIM;1
dataBox57(9,3);;1.0
dataBox58(9,4);;1.0
dataBox59(9,5);;1.0
dataBox60(10,0);ELIZ;1.0
dataBox61(10,1);GIRA;1.0
dataBox62(10,2);FAN;1.0
dataBox63(10,3);;1.0
dataBox64(10,4);;1.0
dataBox65(10,5);;1.0
dataBox66(11,0);HARO;1.0
dataBox67(11,1);SUED2;1.0
dataBox68(11,2);OBKM;1.0
dataBox69(11,3);;1.0
dataBox70(11,4);;1.0
dataBox71(11,5);;1.0
dataBox72(12,0);LAGE;1.0
dataBox73(12,1);TIM;1.0
dataBox74(12,2);JM42;1.0
dataBox75(12,3);;1.0
dataBox76(12,4);;1.0
dataBox77(12,5);;1.0
dataBox78(13,0);JM42;1.0
dataBox79(13,1);GMJ;1.0
dataBox80(13,2);OBKM;1.0
dataBox81(13,3);;1.0
dataBox82(13,4);;1.0
dataBox83(13,5);;1.0
dataBox84(14,0);KATR;1.0
dataBox85(14,1);ANGE;1.0
dataBox86(14,2);SUED2;1.0
dataBox87(14,3);;1.0
dataBox88(14,4);;1.0
dataBox89(14,5);;1.0
dataBox90(15,0);;1.0
dataBox91(15,1);JEMI;1.0
dataBox92(15,2);RITA;1.0
dataBox93(15,3);;1.0
dataBox94(15,4);;1.0
dataBox95(15,5);;1.0
