boxName;text;confidence
marginBox;;1
nameBox;CASHEWS NATURE;1
unitBox;200G;1
priceBox;4.40;1.0
pageNumberBox;0;1.0
dataBox0(0,0);GIRA;1.0
dataBox1(0,1);H5;1.0
dataBox2(0,2);CLAU;1.0
dataBox3(0,3);NOVA;1.0
dataBox4(0,4);;1.0
dataBox5(0,5);;1.0
dataBox6(1,0);JEMI;1.0
dataBox7(1,1);FFL;1.0
dataBox8(1,2);MALA;1.0
dataBox9(1,3);SUED2;1.0
dataBox10(1,4);;1.0
dataBox11(1,5);;1.0
dataBox12(2,0);APJ;1.0
dataBox13(2,1);SISI;1.0
dataBox14(2,2);KATR;1.0
dataBox15(2,3);;1.0
dataBox16(2,4);;1.0
dataBox17(2,5);;1.0
dataBox18(3,0);H5;1.0
dataBox19(3,1);CABE;1.0
dataBox20(3,2);FAN;1
dataBox21(3,3);;1.0
dataBox22(3,4);;1
dataBox23(3,5);;1.0
dataBox24(4,0);COYA;1.0
dataBox25(4,1);MESCH;1.0
dataBox26(4,2);MAMA;1.0
dataBox27(4,3);;1.0
dataBox28(4,4);;1.0
dataBox29(4,5);;1.0
dataBox30(5,0);DOHLE;1.0
dataBox31(5,1);ANA;1.0
dataBox32(5,2);ANGE;1.0
dataBox33(5,3);;1.0
dataBox34(5,4);;1.0
dataBox35(5,5);;1.0
dataBox36(6,0);LEFE;1.0
dataBox37(6,1);FFL;1.0
dataBox38(6,2);FAKW;1.0
dataBox39(6,3);;1.0
dataBox40(6,4);;1.0
dataBox41(6,5);;1.0
dataBox42(7,0);;1
dataBox43(7,1);NOVA;1
dataBox44(7,2);BOER;1.0
dataBox45(7,3);;1.0
dataBox46(7,4);;1.0
dataBox47(7,5);;1.0
dataBox48(8,0);;1
dataBox49(8,1);JM42;1
dataBox50(8,2);MESCH;1.0
dataBox51(8,3);;1.0
dataBox52(8,4);;1.0
dataBox53(8,5);;1.0
dataBox54(9,0);LILA;1.0
dataBox55(9,1);FAN;1.0
dataBox56(9,2);JEMI;1.0
dataBox57(9,3);;1.0
dataBox58(9,4);;1.0
dataBox59(9,5);;1.0
dataBox60(10,0);CLAU;1.0
dataBox61(10,1);H5;1.0
dataBox62(10,2);FFL;1.0
dataBox63(10,3);;1.0
dataBox64(10,4);;1.0
dataBox65(10,5);;1.0
dataBox66(11,0);GIRA;1.0
dataBox67(11,1);LEFE;1.0
dataBox68(11,2);;1
dataBox69(11,3);;1.0
dataBox70(11,4);;1.0
dataBox71(11,5);;1.0
dataBox72(12,0);MUH;1.0
dataBox73(12,1);;1
dataBox74(12,2);HARO;1.0
dataBox75(12,3);;1.0
dataBox76(12,4);;1.0
dataBox77(12,5);;1.0
dataBox78(13,0);FAN;1.0
dataBox79(13,1);VHAN;1
dataBox80(13,2);MUCO;1.0
dataBox81(13,3);;1.0
dataBox82(13,4);;1.0
dataBox83(13,5);;1.0
dataBox84(14,0);DGL;1.0
dataBox85(14,1);ANGE;1.0
dataBox86(14,2);MAMA;1.0
dataBox87(14,3);;1.0
dataBox88(14,4);;1.0
dataBox89(14,5);;1.0
dataBox90(15,0);FAKW;1.0
dataBox91(15,1);GENU;1.0
dataBox92(15,2);DGL;1.0
dataBox93(15,3);;1.0
dataBox94(15,4);;1.0
dataBox95(15,5);;1.0
