Previous Quantity Date;2019-09-26
Expected Quantity Date;
Inventory Quantity Date;
Name;Amount;Unit [kg, g, l, cl, ml];Purchase Price;Previous Quantity;Added Quantity;Sold Quantity;Expected Quantity;Inventory Quantity;Eaternity Name;Origin [country];Production [standard, greenhouse, organic, fair-trade, farm, wild-caught, sustainable-fish];Transport [air, ground];Conservation [fresh, frozen, dried, conserved, canned, boiled-down];gCo2e
Allzweckreiniger;1;l;5.2;7;;;;;;;;;;1284
Apfelringli;500;g;19.65;1;;;;;apfel;;;;;642
Artischoken Aufstrich;1;Glas;4.55;13;;;;;artischoken;;;;;
Austernpilze;100;g;10.05;7;;;;;austernpilze;;;ground;;128
Birnel;1;kg;9.35;5;;;;;birnel;schweiz;organic;ground;boiled-down;920
Bockshornklee (gemahlen);125;g;1.45;0;;;;;bockshornklee;;organic,fair-trade;;dried;160
Buntwaschmittel Colora;3;kg;27.0;2;;;;;;;;;;3851
Cashews nature;200;g;4.97;70;;;;;Cashew;;;ground;;257
Chili Schoten;125;g;3.7;1;;;;;chili;;organic,fair-trade;;dried;160
Cornflakes;400;g;4.88;17;;;;;cornflakes;schweiz;organic;;;368
Couscous;500;g;2.675;8;;;;;couscous;;;;;642
Curcuma (gemahlen);125;g;1.8;11;;;;;kurkuma;;organic,fair-trade;;dried;160
Curry mild;125;g;3.45;10;;;;;curry;;organic,fair-trade;;dried;160
Dinkelflakes;400;g;5.33;22;;;;;dinkelflakes;schweiz;organic;;;368
Drink Hafer;1;l;1.78;223;;;;;haferdrink;;organic;ground;;1284
Drink Reis;1;l;1.78;0;;;;;reisdrink;;organic;ground;;1284
Drink Soya (ungesüsst);1;l;1.78;57;;;;;soyadrink;italien;organic;ground;;982
Erdnussbutter;330;g;4.45;0;;;;;erdnussbutter;burkina faso;organic;;canned;539
Erdnüsse gesalzen + geröstet;200;g;1.47;41;;;;;Erdnüsse;nicaragua;organic,fair-trade;ground;dried;227
Geschirrspül-Tabs Ecover ;1;Packung;7.45;0;;;;;;;;;;
Geschirrspülmittel;1;l;4.7;44;;;;;;;;;;1284
Haferflocken;500;g;1.855;55;;;;;haferflocken;schweiz;organic;ground;;460
Honig Fest;1;Glas;16.55;15;;;;;honig;schweiz;;ground;;
iisziit Glace klein;75;ml;2.0;34;;;;;;;;;;96
Ingwer (gemahlen);125;g;2.55;7;;;;;ingwer;;organic,fair-trade;;dried;160
Kaffee Lupinen;500;g;12.6;5;;;;;lupinen;schweiz;organic;ground;dried;460
Kaffee Rebel Dia (Bohnen);1;kg;17.65;15;;;;;kaffee;mexiko;organic,fair-trade;ground;dried;1182
Kaffee Rebel Dia (Gemahlen);500;g;9.8;29;;;;;kaffee;mexiko;organic,fair-trade;ground;dried;591
Kalkentferner;500;ml;5.95;3;;;;;;;;;;642
Kichererbsen hell;1;kg;11.35;10;;;;;kichererbsen;italien;standard;ground;dried;982
Kichererbsen schwarz;1;kg;12.35;13;;;;;kichererbsen;italien;standard;ground;dried;982
Kokosmilch;400;ml;2.7375;21;;;;;kokosmilch;;;;;514
Konfitüre;1;Glas;5.35;29;;;;;konfitüre;schweiz;organic;ground;conserved;
Koriander (ganz);125;g;1.7;6;;;;;koriander;;organic,fair-trade;;dried;160
Körner Einkorn;200;g;1.09;25;;;;;einkorn;schweiz;organic;ground;;184
Körner Emmer;200;g;1.09;20;;;;;emmer;schweiz;organic;ground;;184
Kreuzkümmel (ganz);125;g;2.65;2;;;;;kreuzkümmel;;organic,fair-trade;;dried;160
Kümmel (ganz);125;g;1.85;4;;;;;kümmel;;organic,fair-trade;;dried;160
Kürbiskerne;200;g;3.63;25;;;;;kürbiskerne;;;;;257
Lavendelöl;1;Packung;13.1;9;;;;;massageöl;;;ground;;
Leinsamen;200;g;1.51;19;;;;;leinsamen;;;;;257
Linsen klein;1;kg;11.35;19;;;;;linsen;italien;standard;ground;dried;982
Loorbeer Blätter;125;g;4.6;4;;;;;loorbeer;;organic,fair-trade;;dried;160
Maisgriess Bramata;500;g;3.725;11;;;;;mais;;;;;642
Mandeln;200;g;4.73;42;;;;;mandeln;spanien;organic,fair-trade;;dried;211
Mandelpüree;1;kg;26.7;4;;;;;mandel;italien;organic;ground;canned;982
Mango getrocknet;200;g;4.29;16;;;;;mango;burkina faso;organic,fair-trade;ground;dried;327
Mehl Dinkel Weiss;1;kg;4.7;18;;;;;mehl;schweiz;organic;ground;;920
Mehl Urdinkel Vollkorn;1;kg;3.72;1;;;;;mehl;schweiz;organic;ground;;920
Mehl weiss;1;kg;3.08;52;;;;;mehl;schweiz;organic;ground;;920
Mohnsamen;125;g;2.8;12;;;;;mohnsamen;;;;;160
Muskatnuss (ganz);125;g;10.2;5;;;;;muskatnuss;;organic,fair-trade;;dried;160
Öl Oliven aus Griechenland;1;l;20.79;0;;;;;olivenöl;griechenland;organic;ground;canned;1121
Öl Raps Delikatess;500;ml;4.9375;-2;;;;;rapsöl;schweiz;organic;ground;canned;460
Öl Sonnenblumen;1;l;12.07;4;;;;;sonnenblumenöl;;;ground;;1284
Papier Rebello;1;Packung;10.7;5;;;;;;;;;;
Paprika edelsüss (gemahlen);125;g;3.45;4;;;;;paprika;;organic,fair-trade;;dried;160
Paranüsse;200;g;4.83;0;;;;;paranüsse;;;;;257
Pasta Eliche Vollkorn;500;g;2.40416666666667;36;;;;;pasta;italien;organic;ground;;491
Pasta Fusili;500;g;2.40416666666667;52;;;;;pasta;italien;organic;ground;;491
Pasta Penne Vollkorn;500;g;2.26666666666667;47;;;;;pasta;italien;organic;ground;;491
Pasta Rigatoni;500;g;2.40416666666667;43;;;;;pasta;italien;organic;ground;;491
Pasta Spaghetti;500;g;2.15416666666667;50;;;;;pasta;italien;organic;ground;;491
Pasta Spaghetti Vollkorn;500;g;2.40416666666667;28;;;;;pasta;italien;organic;ground;;491
Pasta Strozapreti Dinkel Vollk.;500;g;5.05;13;;;;;pasta;schweiz;organic;ground;;460
Pfeffer schwarz ganz;125;g;4.5;8;;;;;pfeffer;;organic,fair-trade;;dried;160
Pfiffikus Gemüsebrühe;200;g;3.78;15;;;;;gemüsebrühe;schweiz;organic;ground;boiled-down;184
Popcorn;200;g;0.66;2;;;;;mais;;;;;257
Quinoa;500;g;3.9;17;;;;;quinoa;bolivien;organic,fair-trade;ground;;619
Reis Basmati;1;kg;6.93;26;;;;;reis;;;;;1284
Reis Langkorn Vollkorn;1;kg;4.34;8;;;;;reis;;;;;1284
Reis Risotto;1;kg;4.97;34;;;;;reis;;;;;1284
Rosinen;200;g;1.61;32;;;;;rosinen;chile;organic,fair-trade;ground;dried;236
Salz jodiert;1;kg;1.1;11;;;;;salz;schweiz;standard;ground;;920
Schokolade Herb 80%;100;g;3.7;16;;;;;schokolade;ghana;organic,fair-trade;ground;;171
Schokolade Seidigsanft 60%;100;g;3.7;20;;;;;schokolade;ghana;organic,fair-trade;ground;;171
Schwarze Oliven;240;g;6.0;0;;;;;oliven;griechenland;organic;ground;canned;269
Seife Bergkräuter;95;g;4.8;2;;;;;;;;;;122
Senfkörner (ganz);125;g;1.15;3;;;;;senfkörner;;organic,fair-trade;;dried;160
Sesam;200;g;1.57;42;;;;;sesam;;;;;257
Sesampaste (Tahin);330;g;5.75;0;;;;;sesampaste;burkina faso;organic;;canned;539
Sirup;1;Flasche;11.55;27;;;;;sirup;schweiz;organic;ground;conserved;
Sonnenblumen Kerne;200;g;2.44;49;;;;;sonnenblumen kerne;;;;;257
Soya-Gehacktes;200;g;2.22;6;;;;;soya;;;;;257
Soya-Kloesse;200;g;2.22;7;;;;;soya;;;;;257
Steinpilze getrocknet;100;g;9.85;-2;;;;;steinpilze;;;;;128
Tamari;500;ml;5.825;-1;;;;;tamari;soyana;organic;ground;canned;460
Toilettenpapier;1;Packung;4.33333333333333;77;;;;;toilettenpapier;deutschland;standard,fair-trade;ground;;
Tomaten getrocknet;290;g;6.4;6;;;;;tomaten;;;;;372
Tomaten in Dose;2250;ml;3.65833333333333;0;;;;;tomaten;;;;;2888
Tomatensauce in Flaschen;410;g;3.08333333333333;54;;;;;tomatensauce;;;;;526
WC-Reiniger;750;ml;3.7;2;;;;;;;;;;963
Wein Bianca Amabile (weiss);75;cl;13.375;4;;;;;wein;schweiz;organic;ground;canned;690
Wein Sacravite (rot);75;cl;16.25;9;;;;;wein;schweiz;organic;ground;canned;690
Zahnpasta;1;Packung;5.1;5;;;;;zahnpasta;;;ground;;
